,CELG    US Equity,GILD    US Equity,BIIB    US Equity,AMGN    US Equity,REGN    US Equity,INCY    US Equity,ILMN    US Equity,MYL     US Equity,VRTX    US Equity,ALXN    US Equity,BMRN    US Equity,SHPG    US Equity,SGEN    US Equity,ALKS    US Equity,JAZZ    US Equity,TSRO    US Equity,QGEN    US Equity,UTHR    US Equity,EXEL    US Equity,IONS    US Equity,OPK     US Equity,ALNY    US Equity,ACAD    US Equity,PRAH    US Equity,KITE    US Equity,TECH    US Equity,BLUE    US Equity,NKTR    US Equity,MDCO    US Equity,NBIX    US Equity,AKRX    US Equity,CLVS    US Equity,ICPT    US Equity,RARE    US Equity,GWPH    US Equity,CBPO    US Equity,GRFS    US Equity,SAGE    US Equity,ENDP    US Equity,AGIO    US Equity,INCR    US Equity,HZNP    US Equity,IRWD    US Equity,JUNO    US Equity,PTLA    US Equity,LGND    US Equity,AVXS    US Equity,PRTA    US Equity,TBPH    US Equity,HALO    US Equity,PCRX    US Equity,RDUS    US Equity,ONCE    US Equity,SRPT    US Equity,FGEN    US Equity,ARRY    US Equity,SUPN    US Equity,AERI    US Equity,LXRX    US Equity,GBT     US Equity,INVA    US Equity,BPMC    US Equity,MYGN    US Equity,EGRX    US Equity,DERM    US Equity,ACOR    US Equity,RGEN    US Equity,FMI     US Equity,CHRS    US Equity,GHDX    US Equity,ALDR    US Equity,FOLD    US Equity,INSM    US Equity,FPRX    US Equity,XLRN    US Equity,EPZM    US Equity,XNCR    US Equity,MNTA    US Equity,LOXO    US Equity,AIMT    US Equity,IPXL    US Equity,SGYP    US Equity,DEPO    US Equity,DBVT    US Equity,AMRN    US Equity,ESPR    US Equity,EDIT    US Equity,INSY    US Equity,AMAG    US Equity,FLXN    US Equity,VSAR    US Equity,IMMU    US Equity,LMNX    US Equity,PGNX    US Equity,ADRO    US Equity,NVCR    US Equity,ITCI    US Equity,AMPH    US Equity,BGNE    US Equity,RTRX    US Equity,BCRX    US Equity,VNDA    US Equity,MGNX    US Equity,ARDX    US Equity,OMER    US Equity,NLNK    US Equity,ENTA    US Equity,RVNC    US Equity,NH      US Equity,AMRI    US Equity,ANIP    US Equity,XBIT    US Equity,RGNX    US Equity,ATRA    US Equity,ACHN    US Equity,SPPI    US Equity,CYTK    US Equity,SCMP    US Equity,NTLA    US Equity,INO     US Equity,KPTI    US Equity,LBIO    US Equity,CERS    US Equity,PACB    US Equity,MCRB    US Equity,TLGT    US Equity,NSTG    US Equity,RIGL    US Equity,CLDX    US Equity,CRIS    US Equity,PRTK    US Equity,MACK    US Equity,ADMS    US Equity,OTIC    US Equity,AQXP    US Equity,BOLD    US Equity,AVDL    US Equity,ARNA    US Equity,GERN    US Equity,AKBA    US Equity,NVAX    US Equity,PDLI    US Equity,CCXI    US Equity,OMED    US Equity,COLL    US Equity,BLCM    US Equity,ONVO    US Equity,NERV    US Equity,PTCT    US Equity,NK      US Equity,SGMO    US Equity,BRIXX   US Equity,ZGNX    US Equity,CGEN    US Equity,CEMP    US Equity,MNOV    US Equity,TRVN    US Equity,PETX    US Equity,FOMX    US Equity,CLSD    US Equity,ARZ     CN Equity,ARWR    US Equity,OPHT    US Equity
5/25/2012,68.9,50.49,131.56,69.05,132.17,22.41,43.84,21.63,64.85,92.42,38.64,88.59,20.57,16.14,45.86,,16.52,44.05,4.61,9.79,4.78,10.43,1.46,,,69.09,,6.96,21.49,6.5,13.7,18.55,,,,7.9,8.56,,33.57,,,4.02,11.86,,,12.87,,,,8.31,10.73,,,0.7185,,3.46,5.94,,1.6,,22.02,,25.53,,,22.54,4.37,,,34.56,,4.99,2.98,,,,,13.78,,,21.23,4.54,5.49,,11.55,,,,13.9,,,3.37,22.78,8.45,,,,,,,3.26,4.18,,,10,12,,,,2.71,0.5183,,,,7.35,11.22,0.93,7.71,,0.45,,0.75,3.49,2.6,,1.03,,7.51,4.5,4.6,7.17,6.85,,,,,4.38,6,1.42,,1.27,6.48,11.9,,,,3.3,,,,4.61,,1.61,3.8,6.8,1.75,,,,,,4.1201,
6/1/2012,65.33,48.67,126.73,67.75,123.93,20.52,41.91,20.98,59.56,87.6,35.53,82.68,19.11,15.12,42.1,,15.86,43.01,4.475,9.72,4.49,10.09,1.31,,,66.46,,6.53,21.74,6.55,13.3,17.04,,,,8.7,8.35,,31.32,,,3.81,11.89,,,12.11,,,,7.4,10.12,,,0.6159,,3.42,5.43,,1.565,,18.79,,22.98,,,21.84,4.09,,,32.88,,4.5,2.92,,,,,13.81,,,20.18,4.54,5,,10.785,,,,13.58,,,3.28,21.36,8.21,,,,,,,2.92,4.14,,,10.19,12.53,,,,2.39,0.385,,,,6.89,11.01,0.9,6.94,,0.42,,0.75,3.2,2.14,,1.02,,7.17,3.99,4.5,6.74,6.21,,,,,4.3399,6.4,1.28,,1.23,6.32,12.95,,,,5.22,,,,4.24,,1.72,3.41,7.39,1.69,,,,,,3.93,
6/8/2012,65.04,49.64,133.52,68.87,129.62,22.78,39.54,21.55,56.98,92.43,36.34,87.65,23.52,15.39,43.32,,16.51,43.26,5,10.46,4.78,11.35,1.36,,,66.34,,7.35,22.43,6.97,14.48,18.45,,,,10.05,8.65,,29.88,,,3.95,12.38,,,13.21,,,,8.39,12.07,,,0.6912,,3.21,5.07,,1.77,,18.37,,22.98,,,22.64,4.03,,,34.44,,4.49,3.64,,,,,14.74,,,21.27,4.54,5.24,,11.66,,,,14.74,,,3.52,22.87,8.44,,,,,,,3.55,4.23,,,11.82,12.93,,,,2.46,2.56,,,,6.41,11.81,0.8701,7.22,,0.42,,0.66,3.21,1.95,,0.9703,,7.83,4.34,4.82,6.46,7.35,,,,,4.1,6.62,1.31,,1.27,6.35,12.39,,,,4.95,,,,4.49,,2,3.58,7.05,1.64,,,,,,3.4,
6/15/2012,66.16,50.29,140.01,71.29,113.85,22.65,39.81,21.2,56.54,93.31,37.04,89.15,25.61,15.68,44.45,,16.51,47.78,5.16,10.87,4.57,11.58,1.49,,,67.93,,8.01,22.24,7.38,14.6,19.75,,,,9.265,9.01,,30.13,,,4.669,13.33,,,13.33,,,,8.91,14.14,,,0.66,,3.21,5.01,,1.9,,18.79,,23.68,,,23.7,4.15,,,33.28,,4.85,3.36,,,,,15.55,,,21.57,4.74,5.15,,11.84,,,,15.13,,,3.52,24.14,8.11,,,,,,,3.63,4.26,,,12.9,15.82,,,,2.58,2.7,,,,6.67,12.52,0.85,7.11,,0.4025,,0.75,3.24,1.89,,1,,8.42,4.34,4.75,6.29,7.35,,,,,4.05,8.4,1.45,,1.23,6.41,12.11,,,,7.15,,,,5.07,,2,3.62,7.91,1.64,,,,,,3.31,
6/22/2012,61.63,50.52,141.74,72.46,115.9,23.34,40.575,21.23,60.61,95.95,37.31,91.36,25.24,16.15,45.71,,16.52,48.01,5.3,11.89,4.59,11.76,1.5,,,72.07,,8.09,21.975,7.75,15.13,21.4,,,,9.22,9.01,,30.49,,,5.27,14.5,,,16.07,,,,9.01,15.5,,,0.64,,3.51,5.15,,1.91,,20.81,,22.63,,,23.62,3.95,,,33.88,,5.18,3.09,,,,,17.01,,,22.85,4.91,5.71,,12.97,,,,15.05,,,3.75,24.3,8.77,,,,,,,3.84,4.4,,,13.25,16.78,,,,2.66,2.64,,,,6.6,13.895,0.6,7.1,,0.4935,,0.44,3.35,2.06,,0.99,,9.02,4.86,5.13,6.19,7,,,,,4.09,9.88,1.71,,1.35,6.48,14.42,,,,9.35,,,,5.29,,2.37,3.53,8.97,1.57,,,,,,3.26,
6/29/2012,64.16,51.28,144.38,72.91,114.22,22.7,40.39,21.37,55.92,99.3,39.58,86.39,25.39,16.97,45.01,13.99,16.7,49.38,5.53,12,4.6,11.65,1.76,,,74.2,,8.07,22.94,7.895,15.77,21.68,,,,9.37,9.6,,30.98,,,7.13,13.78,,,16.94,,,,8.86,16.04,,,0.626,,3.47,9.36,,2.245,,22.22,,23.77,,,23.56,4.3,,,33.4,,5.5,3.26,,,,,13.47,,,20.27,4.75,5.69,,14.46,,,,15.4,,,3.56,24.49,9.78,,,,,,,3.97,4.4,,,10,14.98,,,,2.55,2.55,,,,6.2,15.56,0.64,7.03,,0.46,,0.45,3.32,2.17,,1.03,,9.3,5.175,5.4,6.2,7.28,,,,,4.3982,9.975,1.71,,1.56,6.63,15,,,,3.99,,,,5.52,,2.48,3.86,9.36,1.63,,,,,,3.84,
7/6/2012,64.77,50.96,142.46,73.85,119.54,25.32,40.2,21.59,54.66,101.25,40.77,84.82,25.68,17.69,45.62,13.89,16.7,51.96,5.83,13.17,4.67,12.87,1.83,,,73.89,,8.14,23.63,8.225,15.74,21.5,,,,9.42,9.72,,30.01,,,7.98,13.87,,,17.34,,,,9.3,15.87,,,0.646,,3.495,12.05,,2.745,,27.63,,25.8,,,26.26,4.39,,,36.24,,6.18,3.52,,,,,13.95,,,20.25,4.64,5.59,,15.12,,,,15.39,,,3.5,24.35,10.28,,,,,,,3.9,4.49,,,10.14,15.93,,,,2.71,2.14,,,,6.96,16.94,0.71,5.23,,0.4899,,0.49,3.56,2.245,,1,,9.77,5.355,5.39,6.65,7.31,,,,,5.36,11.115,1.655,,1.9,6.765,16.36,,,,4.15,,,,5.5,,2.45,3.78,8.64,2.08,,,,,,3.61,
7/13/2012,65.27,51.17,144.61,76.96,117.64,25.47,40.49,22.06,53.55,97.35,43.3,87.88,24.99,17.27,46.36,13.74,16.96,51.41,5.985,13.41,4.62,12.52,1.62,,,74.34,,8.49,24.61,7.83,16.35,21.74,,,,10.01,10.16,,30.15,,,7.25,13.78,,,17.97,,,,8.68,15.54,,,3.83,,3.49,10.3,,2.93,,29.49,,25.58,,,25.27,4.32,,,34.21,,6.07,3.7699,,,,,14.35,,,19.83,4.55,5.5,,14.56,,,,15.71,,,3.56,18.65,10.22,,,,,,,4.27,4.47,,,9.65,14.01,,,,2.68,2.05,,,,6.52,16.32,0.6501,5,,0.479,,0.5,3.511,2,,1,,9.79,5.3,5.29,6.66,7.49,,,,,5.32,11.18,1.58,,2.07,6.82,14.6,,,,2.48,,,,5.17,,2.21,3.57,8.44,1.925,,,,,,3.41,
7/20/2012,66.42,53.08,142.21,77.77,121.65,24.55,42.71,22.3,51.27,99.35,40.25,89.29,26.5,18.85,47.74,13.5,16.89,52.46,6.17,12.965,4.5,18.74,1.56,,,73.11,,9.275,23.36,7.715,14.9,19.64,,,,11,10.4,,31.105,,,7.2,13.17,,,17.51,,,,8.96,15.27,,,3.61,,4.305,13.26,,2.705,,29.97,,25.63,,,25.02,3.89,,,34.87,,5.69,3.65,,,,,13.61,,,19.71,4.34,5.59,,15.16,,,,15.36,,,3.48,16.95,10.1,,,,,,,4.49,4.43,,,9.04,12.7,,,,2.81,1.62,,,,6.37,15.88,0.73,4.37,,0.5219,,0.73,3.18,1.93,,0.9975,,10,5.4,5.19,6.61,7.87,,,,,5.44,9.515,1.65,,1.9,6.645,15.34,,,,1.56,,,,4.98,,2.15,3.55,8.4,1.76,,,,,,3.7,
7/27/2012,70.6,55.5,149.47,83.92,136.9,25.6,42.3,23.265,49.32,108.97,39.53,91.02,27.58,19.53,48.5,13.59,17.87,54.58,6.4,13.04,4.41,20.22,1.6,,,74.05,,9.19,25.62,7.89,14.13,17.97,,,,10.565,21.85,,29.79,,,6.31,13.42,,,19.25,,,,9.775,15.6,,,8.46,,4.82,12.94,,2.605,,29.81,,26.21,,,24.18,3.99,,,34.75,,5.16,3.46,,,,,14.79,,,20.77,4.38,5.65,,13.51,,,,15.66,,,3.54,17.5,10.8,,,,,,,4.71,4.06,,,9.64,13.01,,,,2.72,1.54,,,,6.69,15.35,0.74,4.06,,0.46,,0.65,3.21,2,,1,,11.2,5.27,5.1,6.57,8.32,,,,,4.89,9.42,1.84,,2.18,6.81,14.64,,,,2.03,,,,5.85,,2.33,3.24,8.36,1.718,,,,,,3.67,
8/3/2012,69.3,56.87,145.06,82.21,136.96,18.48,42.13,23.13,49.34,106.96,38.11,91.17,24.65,18.11,48.5,13.28,17.44,54.02,5.58,12.08,4.29,18.03,1.51,,,68.81,,8.21,25.16,6.87,13.35,14.08,,,,10.2575,21.24,,30.14,,,5.161,12.51,,,19.18,,,,4.61,15.42,,,8.73,,4.51,11.81,,2.26,,27.64,,24.68,,,22.42,4.68,,,32.02,,4.83,3.41,,,,,13.77,,,23.18,3.98,5.19,,11.93,,,,15.31,,,3.49,17.47,4.42,,,,,,,4.24,4,,,8.81,11.46,,,,3.05,1.25,,,,6.72,13.62,0.643,4.32,,0.52,,0.75,3.21,1.7,,1.08,,10.61,4.86,4.67,5.79,7.71,,,,,4.95,7.39,1.69,,2.09,6.91,12.58,,,,1.85,,,,5.21,,2.16,3.43,7.34,1.58,,,,,,3.7,
8/10/2012,71.94,56.77,145.505,82.73,136.84,18.21,43.6,23.46,51.66,103.42,37.61,93.05,23.92,17.66,47.23,13.42,17.43,55.23,4.46,12.71,4.25,17.26,1.59,,,68.58,,8.24,25.3,7.21,12.95,15.3,,,,10.31,20.19,,32.25,,,4.67,11.53,,,16.505,,,,5.4,15.54,,,8.27,,4.55,12.48,,2.22,,25.93,,25.34,,,21.72,4.65,,,35.39,,5.14,3.02,,,,,13.74,,,24.03,3.87,5.16,,12.94,,,,15,,,3.44,18.08,4.41,,,,,,,4.02,4.09,,,8.455,11.99,,,,3.05,1.38,,,,5.61,12.42,0.69,4.05,,0.55,,0.74,3.15,1.81,,1.15,,9.67,4.56,4.27,5.74,7.38,,,,,4.85,7.27,1.7,,2.07,7.07,11.02,,,,2.1,,,,5.06,,2.1,3.18,7.6,1.8,,,,,,3.25,
8/17/2012,69.11,56.75,145.09,83.38,138.06,18.94,40.74,23.63,54.78,102.31,37.95,93.43,25.91,17.85,48.46,12.93,17.52,56.22,4.38,13.4,4.31,17.55,1.69,,,66.96,,7.99,24.72,7.54,12.78,18.11,,,,9.5,21.05,,32.49,,,4.48,12.29,,,16.5,,,,6,16.67,,,10.07,,5.5,12.38,,2.32,,26.24,,25.38,,,23.26,5.05,,,35.65,,5.3,3.08,,,,,13.83,,,24.16,4.79,5.38,,11.88,,,,15.1,,,3.55,18.26,4.21,,,,,,,4.02,4.15,,,8.99,14.45,,,,3.28,1.45,,,,6.23,12.05,0.789,4.3,,0.55,,0.45,3.28,1.85,,1.19,,9.28,4.65,4.28,5.36,7.79,,,,,4.85,8.08,2.13,,2.05,7.35,10.28,,,,2.17,,,,5.49,,2.34,3.24,8.39,1.925,,,,,,2.75,
8/24/2012,72.04,57.29,147.03,84.59,145.09,20.04,41.64,23.79,53.56,106.74,38.7,91.77,26.88,17.94,46.5,12.36,17.63,55.33,4.3,13.62,4.52,17.74,1.8,,,67.58,,8.64,24.34,7.41,13.3,18.42,,,,9.8,20.27,,32.17,,,4.04,12.5,,,16.35,,,,5.73,17.45,,,10.78,,5.68,11.38,,2.16,,27.91,,24.84,,,23,5.25,,,35.34,,4.95,3.15,,,,,13.93,,,23.88,4.64,5.13,,12.99,,,,14.955,,,3.47,19.22,4.29,,,,,,,3.92,4.34,,,9.11,13.45,,,,3.25,1.48,,,,6.86,11.86,0.7899,4.58,,0.59,,0.475,3.2,1.88,,1.2,,9.92,5.11,4.14,6.14,7.515,,,,,4.7,8.64,2.3,,2,7.3,10.43,,,,2.16,,,,5.27,,2.31,3.78,8.1,1.96,,,,,,2.748,
8/31/2012,72.04,57.69,146.59,83.92,148.05,20.01,42.08,23.57,53.33,107.21,37.34,90.54,26.54,18.35,45.51,12.38,17.74,54.12,4.43,13.61,4.44,18.29,1.78,,,68.57,,8.58,25.69,7.38,13.84,17.49,,,,9.61,20.57,,31.82,,,4.44,12.53,,,17.29,,,,5.8,18.16,,,15.82,,5.54,12.28,,2.24,,26.67,,24.99,,,22.85,5.69,,,34.46,,4.9,3.24,,,,,14.11,,,23.67,4.95,5.29,,13.69,,,,14.79,,,3.37,19.34,4.08,,,,,,,4.37,4.39,,,9.43,13.96,,,,3.33,1.48,,,,7.03,11.96,0.759,4.77,,0.547,,0.48,3.19,1.97,,1.25,,9.32,5.64,4.4,6.68,7.96,,,,,4.8,9.04,2.76,,2.04,7.36,10.5,,,,2.16,,,,5.37,,2.37,3.63,8.21,1.84,,,,,,2.68,
9/7/2012,75.44,59.26,152.5,83.96,152.55,18.33,45.37,24.06,57.1,110.61,38.36,93.22,28.89,18.99,44.56,13.46,18.6,55.19,5.08,14.85,4.5,18.93,1.92,,,71.73,,8.5,26.25,8.01,14.56,18.76,,,,9,20.93,,33.15,,,4.06,12.21,,,18.66,,,,5.93,18.06,,,14.94,,5.55,12.13,,2.42,,23.91,,26.83,,,25.19,5.37,,,33.74,,5.21,3.43,,,,,14.6,,,24.39,4.87,5.59,,14.78,,,,15.3,,,3.46,19.75,3.44,,,,,,,4.14,4.36,,,9.24,15.38,,,,3.32,1.4,,,,7.32,12.01,0.7741,4.31,,0.568,,0.48,3.32,1.94,,1.32,,10.49,5.81,4.21,6.2,8.11,,,,,4.65,8.6,2.9,,1.99,7.37,11.6,,,,2.14,,,,5.84,,2.3,3.66,8.57,1.89,,,,,,2.6,
9/14/2012,76.27,62.02,154.24,81.36,149.68,17.88,47.79,24.3,58.08,110.47,38.07,92.5,27.31,19.15,48.12,13.54,18.84,57.15,5.24,14.63,4.45,20.87,2.12,,,72.48,,9.24,25.49,7.7,14.3,20.55,,,,9.57,21.44,,33.68,,,4.75,13.31,,,17.56,,,,6.34,17.07,,,13.93,,5.39,11.43,,2.47,,26.15,,27.53,,,25.47,5.83,,,32.96,,5.12,3.47,,,,,14.96,,,24.05,4.79,5.72,,14.16,,,,16.57,,,3.53,20.67,3.65,,,,,,,4.43,4.33,,,9.55,16.36,,,,3.4,1.53,,,,8.42,12.01,0.8008,4.46,,0.58,,0.38,3.42,2.03,,1.3,,10.41,5.88,4.23,5.6,8.38,,,,,4.55,8.35,1.41,,1.89,7.54,12.34,,,,2.01,,,,6.46,,2.4,4.21,8.45,1.86,,,,,,2.67,
9/21/2012,77.27,67.76,154.575,82.03,145.09,19.95,48.48,24.55,59.04,114.21,41.16,88.5,27.62,20.52,58.5,14.25,18.97,57.79,5.555,14.37,4.28,19.61,2.62,,,72.15,,10.33,26.06,7.55,12.97,22.33,,,,9.53,22.92,,32.68,,,3.5,14.23,,,18.36,,,,7.95,19.02,,,14.47,,5.8,11.58,,2.625,,26.53,,27.38,,,25.72,5.99,,,36.15,,5.5,3.75,,,,,14.69,,,26.16,4.7,5.86,,13.37,,,,17.5,,,3.66,20.25,3.34,,,,,,,4.27,4.23,,,9.6,16.36,,,,3.73,1.95,,,,9.52,12.51,0.8605,4.49,,0.6,,0.27,3.46,2.08,,1.34,,10.21,6.38,4.31,5.34,10.43,,,,,4.3,9.045,1.755,,2,7.72,11.85,,,,2.08,,,,6.37,,2.71,4.03,7.98,1.89,,,,,,2.62,
9/28/2012,76.4,66.33,149.21,84.29,152.66,18.05,48.19,24.3717,55.89,114.4,40.26,88.7,26.94,20.75,56.999,14.23,18.51,55.88,4.825,14.07,4.18,18.79,2.53,,,71.94,,10.675,25.81,7.98,13.22,20.45,,,,9.5001,22.83,,31.72,,,3.5,12.78,,,17.15,,,,7.54,17.4,,,15.53,,5.845,11.55,,2.32,,25.91,,26.95,,,25.61,5.96,,,34.69,,5.2,4.55,,,,,14.57,,,25.96,4.78,5.91,,12.575,,,,17.74,,,3.51,19.44,2.88,,,,,,,4.24,4.03,,,9.4,16.23,,,,3.47,1.89,,,,10.405,11.7,0.833,5.03,,0.585,,0.4,3.4,1.83,,1.24,,10.24,6.3,4.14,5.31,9.38,,,,,4.09,8.32,1.71,,2.16,7.7,11.63,,,,2.05,,,,6.08,,2.64,3.76,7.45,1.82,,,,,,2.62,
10/5/2012,80.29,69.43,152.53,86.94,159,18.36,51.79,24.63,59.42,118.15,41.68,88.34,26.78,20.88,58.54,15.11,19.2,57.26,4.98,12.49,4.5,19.04,2.62,,,73.29,,10.77,25.11,8.55,13.46,22.31,,,,9.6,24.44,,31.13,,,3.34,13.07,,,17.83,,,,6.79,18.55,,,34.3,,5.91,12.85,,2.6,,26.53,,28.28,,,26.66,5.92,,,36.1,,4.99,6.36,,,,,14.46,,,26.68,4.78,6.22,,12.52,,,,18.43,,,3.55,19.08,2.7,,,,,,,4.2,4.08,,,10.4,15.59,,,,3.61,1.5,,,,11.1,11.98,0.8216,5.49,,0.619,,0.28,3.36,1.84,,1.27,,9.5,6.46,4.07,5.24,8.41,,,,,4.25,8.635,1.41,,2.27,8.08,11.35,,,,1.98,,,,6.35,,3.1,3.92,8.03,1.97,,,,,,2.63,
10/12/2012,78.42,67.94,147.2,84,150.73,16.75,51.16,23.78,53.53,111.19,41.57,86.86,25,19.22,56.14,15.02,17.95,55.34,4.75,12.64,4.36,18.41,2.4,,,68.99,,10.64,23.95,7.88,13.11,21.63,19.05,,,9.69,24.48,,30.48,,,3.27,13.4,,,17,,,,6.15,17.95,,,27.11,,5.08,12.88,,2.69,,25.17,,27.09,,,24.46,5.82,,,33.66,,6.47,6.32,,,,,14.59,,,26.35,4.62,6.05,,10.88,,,,17.84,,,3.47,18.175,2.85,,,,,,,4.04,4,,,10.76,15.02,,,,3.59,1.39,,,,10.79,11.775,0.724,6.07,,0.71,,0.3,3.4,1.51,,1.29,,9.25,5.88,3.95,5.2,7.48,,,,,4.01,9.13,1.37,,2.2,8.14,10.8,,,,2.34,,,,5.63,,2.85,3.86,7.34,1.93,,,,,,2.3,
10/19/2012,75.16,66.59,145.65,87.16,158.24,17.22,46.68,23.648,50.24,107.62,42.29,87.89,26.04,18.76,55.37,15.33,17.24,54.86,4.72,9.35,4.42,17.32,2.4,,,69.47,,9.79,24.58,7.77,12.51,20.23,19.97,,,9.65,23.81,,30.32,,,3.12,12.63,,,15.63,,,,5.79,16.3,,,24.41,,4.49,12.97,,2.23,,24.22,,25.87,,,23.3,5.38,,,34.42,,5.86,6.6,,,,,14,,,24.98,4.19,6.21,,11.26,,,,16.52,,,3.39,17.52,3.25,,,,,,,4.5,3.73,,,10.7068,14.15,,,,3.4487,1.34,,,,10.25,11.51,0.7245,5.45,,0.69,,0.28,3.3,1.22,,1.1,,9,5.64,4.01,5.08,6.93,,,,,3.81,9.19,1.435,,2.21,8.2495,11,,,,2.44,,,,5.77,,2.6,4.02,6.9,2.11,,,,,,2.25,
10/26/2012,75.2,67.07,142.93,87.63,149.25,16.18,47.93,25.22,49.56,95.26,38.85,84.58,25.39,18.84,54.73,15.11,17.63,45.25,4.81,8.9,4.34,16.39,2.27,,,67.48,,9.22,22.44,7.56,12.28,21.34,19.02,,,9.56,24.51,,29.13,,,2.72,12.11,,,15.25,,,,5.23,15.63,,,22.47,,4.27,10.95,,2.08,,24.85,,26.04,,,22.48,5.2,,,31.52,,5.2,6.22,,,,,13.14,,,24.34,4.06,5.78,,12.05,,,,15.84,,,3.33,17.49,2.91,,,,,,,4.08,3.49,,,9.73,13.81,,,,3.49,1.3,,,,9.54,11.05,0.655,5.27,,0.7,,0.4,3.17,1.24,,1.18,,8.72,5.47,3.83,4.96,6.2,,,,,3.84,8.46,1.3,,2.11,8.07,10.77,,,,2.49,,,,5.61,,2.43,3.72,6.65,1.97,,,,,,2.17,
11/2/2012,73.04,67.01,138.41,86.45,143.5,17.0404,47.93,25.68,45.0099,89.09,37.41,84.65,24.33,19.28,54.15,15.36,17.43,47.01,4.7,8.54,4.26,16.09,2.18,,,68.16,,8.89,21.56,7.31,12.26,22.1,18.75,,,9.8,26.16,,29.23,,,2.34,11.33,,,16.18,,,,5.27,15.76,,,22.51,,4.08,11.55,,1.89,,21.03,,27.01,,,23.73,5.02,,,32.23,,5,6.33,,,,,12.74,,,20.36,3.81,5.65,,11.35,,,,15.68,,,3.22,16.68,2.75,,,,,,1.87,2.57,3.38,,,9.3605,13.3,,,,3.56,1.26,,,,9.14,10.98,0.658,4.98,,0.675,,0.271,3.01,1.23,,1.14,,8.51,5.9392,3.68,5.3,6.4184,,,,,3.88,7.79,1.32,,1.94,7.57,11.56,,,,2.49,,,,5.2974,,2.38,3.87,6.51,1.99,,,,,,2.61,
11/9/2012,71.5,65.01,138.05,85.17,140.74,16.85,48.83,25.87,45.01,90.8,48.09,83.78,23.11,20.24,52.97,15.03,17.61,49.26,4.88,8.78,4.5,15.42,2.27,,,71.03,,8.15,21.27,7.26,12.62,21.49,20,,,11.12,24.26,,26.13,,,2.29,12.01,,,16.67,,,,4.82,15.66,,,22.75,,3.5,12.19,,1.73,,21.45,,29.45,,,24.08,5.49,,,27.97,,4.87,6.88,,,,,11.84,,,20.22,3.22,5.71,,11.21,,,,14.99,,,3.19,16.68,1.77,,,,,,1.5,1.52,3.15,,,8.22,12.21,,,,3.62,1.2,,,,9.01,11.08,0.6201,5.02,,0.541,,0.28,3.09,1.2,,1.16,,8.4,5.38,3.28,5.06,7.2,,,,,3.26,8.36,1.31,,1.7,7.89,12.3,,,,2.4,,,,5.1,,2.57,3.89,6.29,1.99,,,,,,2.43,
11/16/2012,74.33,74.4,141.236,84.54,157.69,16.95,49.43,25.5409,41.22,90.91,47.9,82.47,24.28,19.49,51.73,15.84,17.16,49.48,4.73,8.41,4.38,16,1.91,,,68.84,,5.99,20.36,6.9,12.76,11.65,21.5,,,11,23.8692,,26.84,,,2.29,10.44,,,16.67,,,,5.31,15.55,,,25.83,,3.32,12.23,,1.6,,20.21,,30.04,,,23.85,5.48,,,28.23,,4.4593,7.68,,,,,10.76,,,19.9478,4.32,5.41,,10.84,,,,15.19,,,3.03,16.98,1.86,,,,,,2.01,1.26,3.09,,,6.36,10.84,,,,3.78,1.19,,,,7.2,10.64,0.64,4.48,,0.49,,0.255,2.85,1.18,,1.13,,8.0798,5.18,3.16,4.4,6.85,,,,,3.18,8.5,1.25,,1.61,7.35,11.96,,,,2.13,,,,5.12,,2.3814,3.94,5.47,1.69,,,,,,2.24,
11/23/2012,78.51,76.12,149.87,87.6,176.08,18.3,52.93,27.11,41.46,94.71,49.08,86.63,25.52,19.84,52.75,17.11,18.32,53.53,5.27,9.06,4.49,16.47,2.22,,,72.21,,6.07,21.6,7.23,12.95,12.03,21.21,,,11.96,24.28,,27.8,,,2.56,10.88,,,19.12,,,,5.72,16.22,,,29.35,,3.4,12.05,,1.74,,21.59,,30.38,,,25.08,5.87,,,27.79,,4.9,7.99,,,,,10.6,,,20.54,4.24,5.9,,11.21,,,,14.74,,,3,17.85,2.33,,,,,,,1.61,3.34,,,7.36,12.63,,,,4.45,1.23,,,,7.65,11.3,0.655,4.97,,0.4842,,0.3,3.15,1.45,,1.05,,8.34,5.62,3.38,4.7,6.99,,,,,3.17,9.22,1.37,,1.75,7.595,12.02,,,,2.05,,,,5.36,,2.57,4.12,6.05,1.9499,,,,,,2.15,
11/30/2012,78.59,75,149.09,88.8,176.55,17.6,53.71,27.18,39.79,96.02,48.5,86.63,25.31,19.31,53.88,18.51,18.5,52.55,4.88,9.2,4.38,16.97,5.2,,,70.9,,6.52,21.47,7.48,13.49,15.38,23.37,,,14.32,24.39,,28.68,,,2.59,10.8,,,19.73,,,,6.23,17.05,,,29.33,,3.91,7.99,,1.72,,22.48,,28.72,,,25.21,6.45,,,27.66,,5.72,7.16,,,,,10.7,,,20.34,5.53,6.02,,12.41,,,,15.03,,,3.19,17.22,2.36,,,,,,2.01,1.72,3.48,,,7.48,12.03,,,,4.86,1.35,,,,7.79,11.84,0.6421,5.24,,0.525,,0.38,3.23,1.68,,1.05,,8.3,5.94,3.35,5.39,7.14,,,,,3.2105,8.86,1.41,,1.85,7.9,11.85,,,,2.12,,,,5.73,,2.64,4.59,6.15,1.84,,,,,,2.21,
