,CELG    US Equity,GILD    US Equity,BIIB    US Equity,AMGN    US Equity,REGN    US Equity,INCY    US Equity,ILMN    US Equity,MYL     US Equity,VRTX    US Equity,ALXN    US Equity,BMRN    US Equity,SHPG    US Equity,SGEN    US Equity,ALKS    US Equity,JAZZ    US Equity,TSRO    US Equity,QGEN    US Equity,UTHR    US Equity,EXEL    US Equity,IONS    US Equity,OPK     US Equity,ALNY    US Equity,ACAD    US Equity,PRAH    US Equity,KITE    US Equity,TECH    US Equity,BLUE    US Equity,NKTR    US Equity,MDCO    US Equity,NBIX    US Equity,AKRX    US Equity,CLVS    US Equity,ICPT    US Equity,RARE    US Equity,GWPH    US Equity,CBPO    US Equity,GRFS    US Equity,SAGE    US Equity,ENDP    US Equity,AGIO    US Equity,INCR    US Equity,HZNP    US Equity,IRWD    US Equity,JUNO    US Equity,PTLA    US Equity,LGND    US Equity,AVXS    US Equity,PRTA    US Equity,TBPH    US Equity,HALO    US Equity,PCRX    US Equity,RDUS    US Equity,ONCE    US Equity,SRPT    US Equity,FGEN    US Equity,ARRY    US Equity,SUPN    US Equity,AERI    US Equity,LXRX    US Equity,GBT     US Equity,INVA    US Equity,BPMC    US Equity,MYGN    US Equity,EGRX    US Equity,DERM    US Equity,ACOR    US Equity,RGEN    US Equity,FMI     US Equity,CHRS    US Equity,GHDX    US Equity,ALDR    US Equity,FOLD    US Equity,INSM    US Equity,FPRX    US Equity,XLRN    US Equity,EPZM    US Equity,XNCR    US Equity,MNTA    US Equity,LOXO    US Equity,AIMT    US Equity,IPXL    US Equity,SGYP    US Equity,DEPO    US Equity,DBVT    US Equity,AMRN    US Equity,ESPR    US Equity,EDIT    US Equity,INSY    US Equity,AMAG    US Equity,FLXN    US Equity,VSAR    US Equity,IMMU    US Equity,LMNX    US Equity,PGNX    US Equity,ADRO    US Equity,NVCR    US Equity,ITCI    US Equity,AMPH    US Equity,BGNE    US Equity,RTRX    US Equity,BCRX    US Equity,VNDA    US Equity,MGNX    US Equity,ARDX    US Equity,OMER    US Equity,NLNK    US Equity,ENTA    US Equity,RVNC    US Equity,NH      US Equity,AMRI    US Equity,ANIP    US Equity,XBIT    US Equity,RGNX    US Equity,ATRA    US Equity,ACHN    US Equity,SPPI    US Equity,CYTK    US Equity,SCMP    US Equity,NTLA    US Equity,INO     US Equity,KPTI    US Equity,LBIO    US Equity,CERS    US Equity,PACB    US Equity,MCRB    US Equity,TLGT    US Equity,NSTG    US Equity,RIGL    US Equity,CLDX    US Equity,CRIS    US Equity,PRTK    US Equity,MACK    US Equity,ADMS    US Equity,OTIC    US Equity,AQXP    US Equity,BOLD    US Equity,AVDL    US Equity,ARNA    US Equity,GERN    US Equity,AKBA    US Equity,NVAX    US Equity,PDLI    US Equity,CCXI    US Equity,OMED    US Equity,COLL    US Equity,BLCM    US Equity,ONVO    US Equity,NERV    US Equity,PTCT    US Equity,NK      US Equity,SGMO    US Equity,BRIXX   US Equity,ZGNX    US Equity,CGEN    US Equity,CEMP    US Equity,MNOV    US Equity,TRVN    US Equity,PETX    US Equity,FOMX    US Equity,CLSD    US Equity,ARZ     CN Equity,ARWR    US Equity,OPHT    US Equity
3/16/2012,75.6,46.73,120.04,67.38,115.33,18.08,49.93,22.89,42.94,89.01,34.67,102.91,19.57,16.74,46.58,,15.01,47.87,5.64,8.54,4.93,11.59,1.87,,,70.14,,7.55,20.6,8.51,12.54,23,,,,9.16,7.29,,36.27,,,3.85,13.555,,,16.29,,,,11.96,11.85,,,1.38,,3.16,,,1.82,,18.75,,25.37,,,26.85,4.74,,,31.48,,5.68,3.84,,,,,15.59,,,23.34,3.89,6,,10.52,,,,16.05,,,3.46,22.09,9.48,,,,,,,5.37,5.11,,,9.77,9.47,,,,2.77,0.718,,,,10.54,13.05,1.2,7.61,,0.5755,,1.04,4.12,3.48,,1.14,,8.43,4.48,4.58,9.17,,,,,,5.89,1.76,1.79,,1.38,6.26,10.17,,,,2.63,,,,4.6,,1.93,5.83,7.26,2.76,,,,,,6.14,
3/23/2012,76.83,46.85,120.96,66.66,119.18,19.8,50.46,22.98,41.34,93.82,34.3,101.58,19.43,16.48,48.17,,15,47.68,5.54,8.57,4.87,11.34,2.18,,,68.23,,7.62,20,9.01,12.27,26.5,,,,9.15,7.52,,37.85,,,3.82,13.29,,,18.05,,,,12,11.44,,,1.54,,3.24,,,1.87,,19.47,,22.78,,,26.54,4.93,,,30.84,,5.3,3.73,,,,,15.6,,,23.85,4.01,6.48,,11.73,,,,15.77,,,3.6,22.8,9.5,,,,,,,5.17,4.8,,,9.78,9.85,,,,2.84,0.72,,,,9.92,13.33,1.16,7.45,,0.6101,,1.35,4.15,3.93,,1.12,,8.32,4.96,4.52,9.84,,,,,,5.51,2.41,1.8,,1.34,6.34,10.57,,,,2.36,,,,4.74,,1.96,5.89,7.78,3,,,,,,6,
3/30/2012,77.52,48.86,126,67.97,116.62,19.3,52.61,23.45,41.01,92.86,34.25,94.75,20.38,18.55,48.47,,15.57,47.13,5.18,8.77,4.73,11.07,2.15,,,70.1,,7.92,20.07,7.97,11.7,25.45,,,,9.28,7.71,,38.73,,,4.14,13.31,,,15.95,,,,12.76,11.54,,,1.54,,3.405,,,1.86,,19.5,,23.66,,,26.55,5.9,,,30.61,,5.28,3.63,,,,,15.32,,,24.58,4.05,6.26,,11.32,,,,15.93,,,3.63,23.35,9.9,,,,,,,4.83,4.79,,,9.93,9.15,,,,2.7,0.68,,,,9.58,12.63,1.15,7.45,,0.669,,1.15,4.02,3.42,,1.09,,8.05,5.09,4.82,10.52,6.19,,,,,5.13,3.075,1.695,,1.26,6.36,10.66,,,,2.47,,,,4.9,,2,5.99,7.55,2.902,,,,,,6.38,
4/6/2012,79.65,47.76,128.62,68.02,123.44,19.59,52.33,22.59,40.05,93.67,33.5,96.3,19.52,18.64,49.47,,15.44,44.7,5.08,8.55,4.75,10.64,1.82,,,68.91,,7.65,19.96,7.72,11.99,19.24,,,,9.14,7.95,,38.27,,,4.1,13.56,,,15.61,,,,12.57,10.84,,,1.01,,3.68,,,1.77,,23.07,,23.67,,,26.32,6.25,,,30.31,,5.14,3.6,,,,,16.04,,,24.57,3.9,6.24,,10.22,,,,15.68,,,3.42,23.92,9.72,,,,,,,4.36,4.74,,,9.8,9.23,,,,2.84,0.6798,,,,10.95,11.06,1.14,8.26,,0.6717,,1.02,3.77,3.2,,1.1,,7.93,5.02,4.75,11.12,6.06,,,,,5.09,3.07,1.58,,1.24,6.37,11.15,,,,2.75,,,,4.64,,2,6.18,7.24,2.695,,,,,,6.62,
4/13/2012,78.32,45.51,125.34,65.59,122.6,17.65,47.17,22.07,36.17,89.02,32.74,92.82,18.5,17.56,45.68,,15,41.63,4.77,7.53,4.38,10.02,1.54,,,66.07,,7.24,19.78,7.37,11.34,18.55,,,,9.01,7.82,,35.62,,,3.66,12.86,,,14.15,,,,11.27,9.75,,,1.04,,3.35,,,1.6,,20.57,,23.69,,,24.25,6.22,,,27.96,,4.99,3,,,,,14.36,,,23.6,3.92,6.24,,9.69,,,,15.65,,,3.33,23.355,9.64,,,,,,,3.93,4.49,,,9.27,10.99,,,,2.8,0.5904,,,,9.02,9.51,1.02,8.25,,0.62,,1.18,3.56,2.93,,1.07,,7.69,4.18,4.5,11.43,6.94,,,,,5.23,2.875,1.55,,1.19,6.09,14.29,,,,2.4,,,,4.31,,1.92,5.43,6.86,2.63,,,,,,6.5,
4/20/2012,79.1,51,127.23,68.47,126.38,19.43,44.36,21.84,36.58,91.76,34.94,98.42,19.52,17.56,44.03,,15.92,42.09,4.83,7.66,4.99,10.62,1.48,,,66.12,,7.51,19.74,7.61,11.56,17.64,,,,9.47,8.45,,35.42,,,3.84,12.38,,,14.28,,,,8.07,10.23,,,0.88,,3.49,,,1.55,,21.13,,25.86,,,24.85,6.18,,,28.02,,4.72,3.12,,,,,15.83,,,24.74,4.23,6.48,,10.4,,,,15.93,,,3.68,24.02,10.68,,,,,,,4.16,4.4,,,8.94,11.4,,,,2.95,0.589,,,,8.28,10.26,1.17,8.28,,0.58,,1.18,3.89,2.75,,1.03,,7.87,4.17,4.93,11,8.47,,,,,5.25,2.17,1.67,,1.23,6.23,17.29,,,,2.24,,,,4.53,,1.88,5.34,7.04,2.68,,,,,,6.16,
4/27/2012,73.38,52.16,133.16,71.64,140.01,22.94,44.48,22.08,38.62,90.56,35.06,97.38,19.86,17.88,51.72,,16.58,44.96,4.8,8.21,4.82,11.67,1.51,,,67.9,,7.87,22.21,7.64,12.26,18.24,,,,9.23,9.49,,35.83,,,4.16,13.09,,,13.89,,,,8.2,11.17,,,0.8335,,3.62,,,1.65,,21.73,,26.71,,,25.29,4.5,,,28.73,,5.27,2.92,,,,,16.1,,,25.31,5.77,6.25,,12.01,,,,16.01,,,3.7,24.91,11.18,,,,,,,3.83,4.41,,,8.78,11.34,,,,3.18,0.5601,,,,6.9,10.79,1.04,8.44,,0.54,,0.85,4.04,2.81,,1.06,,7.95,4.38,4.98,9.33,7.26,,,,,5.6,2.62,1.73,,1.29,6.23,16.62,,,,2.22,,,,4.82,,1.88,5.21,6.81,2.9,,,,,,5.86,
5/4/2012,69.81,50.27,130.97,69.77,131.4,22.38,44.92,21,37.41,87.28,35.79,97.36,19.14,18.07,50.79,,16.74,42.19,4.52,7.99,4.47,9.78,1.5,,,68.15,,6.9,21.69,6.8,12.07,18,,,,9.3,9.6,,33.84,,,3.61,12.32,,,11.9,,,,7.82,10.7,,,0.8325,,3.23,5.97,,1.54,,20.11,,26.1,,,23.52,4.86,,,28.02,,4.97,2.7,,,,,13.86,,,22.46,4.5,5.72,,12,,,,15.76,,,3.47,23.45,9.94,,,,,,,3.37,4.39,,,9.1,10.5,,,,3.01,0.5171,,,,5.99,10.55,0.9401,7.83,,0.53,,0.9,3.65,2.51,,1.06,,7.75,4.05,4.63,8.4,7.46,,,,,5.11,2.59,1.51,,1.38,6.32,11.58,,,,2.95,,,,4.13,,1.9,4.57,6.55,3.2,,,,,,5.3,
5/11/2012,70.79,51.84,136.71,70.78,134.09,23.34,44.66,21.52,62.02,86.29,38,98.32,19.58,18.09,50.45,,17.04,42.58,5.1,9.06,4.55,10.69,1.52,,,69.16,,7.22,21.57,7.11,12.75,19.31,,,,9.58,9.24,,33.55,,,3.67,12.68,,,12.35,,,,7.46,10.85,,,0.7715,,3.48,6.5,,1.5,,22.61,,25.9,,,23.92,4.87,,,31.33,,4.72,3.1,,,,,14.26,,,22,4.53,5.63,,11.48,,,,13.25,,,3.53,23.8,9,,,,,,,3.73,4.31,,,9.24,10.78,,,,3.04,0.45,,,,7.2,11.5,0.93,8.11,,0.5,,0.85,3.66,2.52,,1.05,,8.31,4.13,4.94,8.2,7.35,,,,,4.73,6.36,1.49,,1.3,6.5,11.25,,,,3,,,,4.41,,1.91,4.04,6.8,3.5,,,,,,5.02,
5/18/2012,68.1,49.94,131.58,69.15,120.23,21.75,42.85,20.811,61.34,84.26,36.6,90.3,20.06,16.42,42.43,,16.46,41.64,4.61,8.95,4.49,9.91,1.42,,,66.14,,6.41,20.88,6.55,12.95,18.49,,,,8.1,8.8,,32.87,,,3.8,11.27,,,11.71,,,,7.9,10.15,,,0.61,,3.58,6.3,,1.51,,20.33,,24.54,,,21.66,4.48,,,31.65,,4.67,2.87,,,,,13.83,,,20.97,4.32,5.12,,10.07,,,,13.14,,,3.4,22.19,7.52,,,,,,,3.3,4.02,,,9.52,11.21,,,,3.01,0.3398,,,,6.5,11.08,0.9,8,,0.46,,0.65,3.38,2.11,,0.98,,7.55,4.11,4.47,6.99,7.3,,,,,4.63,5.52,1.37,,1.16,6.18,12.07,,,,3.4,,,,4.35,,1.79,3.6,6.87,3.07,,,,,,4.23,
